PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Li, Guoxing; Huang, Qingquan; He, Xin; Gao, Yue; Wang, Daiwei; Kim, Seong H.; Wang, Donghai								Self-Formed Hybrid Interphase Layer on Lithium Metal for High-Performance Lithium-Sulfur Batteries								ACS NANO				12	2			1500	1507		10.1021/acsnano.7b08035			FEB 2018	2018										24							WOS:000426615600060		
J	Chen, Shuru; Zheng, Jianming; Yu, Lu; Ren, Xiaodi; Engelhard, Mark H.; Niu, Chaojiang; Lee, Hongkyung; Xu, Wu; Xiao, Jie; Liu, Jun; Zhang, Ji-Guang								High-Efficiency Lithium Metal Batteries with Fire-Retardant Electrolytes								JOULE				2	8			1548	1558		10.1016/j.joule.2018.05.002			AUG 15 2018	2018										23							WOS:000441627400019		
J	Song, Qiang; Yan, Huibo; Liu, Kedi; Xie, Keyu; Li, Wei; Gai, Wenhan; Chen, Guohui; Li, Hejun; Shen, Chao; Fu, Qiangang; Zhang, Shouyang; Zhang, Leilei; Wei, Bingqing								Vertically Grown Edge-Rich Graphene Nanosheets for Spatial Control of Li Nucleation								ADVANCED ENERGY MATERIALS				8	22					1800564	10.1002/aenm.201800564			AUG 6 2018	2018										23							WOS:000440805400015		
J	Zhang, Qi; Shi, Chen-Yu; Qu, Da-Hui; Long, Yi-Tao; Feringa, Ben L.; Tian, He								Exploring a naturally tailored small molecule for stretchable, self-healing, and adhesive supramolecular polymers								SCIENCE ADVANCES				4	7					eaat8192	10.1126/sciadv.aat8192			JUL 2018	2018										23							WOS:000443176100066		
J	Whitesides, George M.								Soft Robotics								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				57	16			4258	4273		10.1002/anie.201800907			APR 9 2018	2018										23							WOS:000429536600016		
J	Ha, Minjeong; Lim, Seongdong; Ko, Hyunhyub								Wearable and flexible sensors for user-interactive health-monitoring devices								JOURNAL OF MATERIALS CHEMISTRY B				6	24			4043	4064		10.1039/c8tb01063c			JUN 28 2018	2018										22							WOS:000436029600003		
J	Zhang, Xue-Qiang; Cheng, Xin-Bing; Zhang, Qiang								Advances in Interfaces between Li Metal Anode and Electrolyte								ADVANCED MATERIALS INTERFACES				5	2					1701097	10.1002/admi.201701097			JAN 23 2018	2018										22							WOS:000423173800012		
J	Luo, Zhenghui; Sun, Chenkai; Chen, Shanshan; Zhang, Zhi-Guo; Wu, Kailong; Qiu, Beibei; Yang, Changduk; Li, Yongfang; Yang, Chuluo								Side-Chain Impact on Molecular Orientation of Organic Semiconductor Acceptors: High Performance Nonfullerene Polymer Solar Cells with Thick Active Layer over 400 nm								ADVANCED ENERGY MATERIALS				8	23					1800856	10.1002/aenm.201800856			AUG 16 2018	2018										21							WOS:000441741900022		
J	Liao, Kaiming; Wu, Shichao; Mu, Xiaowei; Lu, Qian; Han, Min; He, Ping; Shao, Zongping; Zhou, Haoshen								Developing a "Water-Defendable" and "Dendrite-Free" Lithium-Metal Anode Using a Simple and Promising GeCl4 Pretreatment Method								ADVANCED MATERIALS				30	36					1705711	10.1002/adma.201705711			SEP 6 2018	2018										20							WOS:000443377100001		
J	Zeng, Xian-Xiang; Yin, Ya-Xia; Shi, Yang; Zhang, Xu-Dong; Yao, Hu-Rong; Wen, Rui; Wu, Xiong-Wei; Guo, Yu-Guo								Lithiation-Derived Repellent toward Lithium Anode Safeguard in Quasi-solid Batteries								CHEM				4	2			298	307		10.1016/j.chempr.2017.12.003			FEB 8 2018	2018										20							WOS:000429434000010		
