IDENTIFICADORES DE AUTOR: (G-4870-2011)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Enhance the optical absorptivity of nanocrystalline TiO(2) film with high molar extinction coefficient ruthenium sensitizers for high performance dye-sensitized solar cells","Gao, Feifei; Wang, Yuan; Shi, Dong; Zhang, Jing; Wang, Mingkui; Jing, Xiaoyan; Humphry-Baker, Robin; Wang, Peng; Zakeeruddin, Shaik M.; Graetzel, Michael","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","AUG 13 2008","2008","130","32","","","","10720","10728","","10.1021/ja801942j","","","1127","93.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","54","94","145","173","176","133","119","85","61","54","27","0"
"Electrochemical and photoelectrochemical investigation of single-crystal anatase","Kavan, L; Gratzel, M; Gilbert, SE; Klemenz, C; Scheel, HJ","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","JUL 17 1996","1996","118","28","","","","6716","6723","","10.1021/ja954172l","","","1049","43.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","10","5","18","15","17","23","21","28","34","34","44","38","59","73","71","82","92","96","72","82","67","60","0"
"Highly Efficient Light-Harvesting Ruthenium Sensitizer for Thin-Film Dye-Sensitized Solar Cells","Chen, Chia-Yuan; Wang, Mingkui; Li, Jheng-Ying; Pootrakulchote, Nuttapol; Alibabaei, Leila; Ngoc-le, Cevey-ha; Decoppet, Jean-David; Tsai, Jia-Hung; Graetzel, Carole; Wu, Chun-Guey; Zakeeruddin, Shaik M.; Graetzel, Michael","","","","ACS NANO","OCT 2009","2009","3","10","","","","3103","3109","","10.1021/nn900756s","","","966","87.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","106","132","148","117","122","102","79","74","33","0"
"Applications of functionalized transition metal complexes in photonic and optoelectronic devices","Kalyanasundaram, K; Gratzel, M","","","","COORDINATION CHEMISTRY REVIEWS","OCT 1998","1998","177","","","","","347","414","","10.1016/S0010-8545(98)00189-1","","","937","42.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","9","14","18","29","43","42","50","43","58","48","71","80","81","81","67","66","53","48","25","0"
"Low cost photovoltaic modules based on dye sensitized nanocrystalline titanium dioxide and carbon powder","Kay, A; Gratzel, M","","","","SOLAR ENERGY MATERIALS AND SOLAR CELLS","OCT 30 1996","1996","44","1","","","","99","117","","10.1016/0927-0248(96)00063-3","","","911","37.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","7","17","6","11","13","20","12","20","25","30","37","66","87","100","100","78","71","59","65","51","27","0"
"Characteristics of high efficiency dye-sensitized solar cells","Wang, Qing; Ito, Seigo; Graetzel, Michael; Fabregat-Santiago, Francisco; Mora-Sero, Ivan; Bisquert, Juan; Bessho, Takeru; Imai, Hachiro","","","","JOURNAL OF PHYSICAL CHEMISTRY B","DEC 21 2006","2006","110","50","","","","25210","25221","","10.1021/jp064256o","","","900","64.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","25","51","65","100","104","119","150","92","67","49","49","25","0"
"High-efficiency organic-dye-sensitized solar cells controlled by nanocrystalline-TiO2 electrode thickness","Ito, Seigo; Zakeeruddin, Shaik M.; Humphry-Baker, Robin; Liska, Paul; Charvet, Raphael; Comte, Pascal; Nazeeruddin, Mmad K.; Pechy, Peter; Takata, Masakazu; Miura, Hidetoshi; Uchida, Satoshi; Graetzel, Michael","","","","ADVANCED MATERIALS","MAY 2 2006","2006","18","9","","","","1202","+","","10.1002/adma.200502540","","","896","64.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","33","66","65","97","93","120","103","87","75","60","37","34","22","0"
"Acid-base equilibria of (2,2 '-bipyridyl-4,4 '-dicarboxylic acid)ruthenium(II) complexes and the effect of protonation on charge-transfer sensitization of nanocrystalline titania","Nazeeruddin, MK; Zakeeruddin, SM; Humphry-Baker, R; Jirousek, M; Liska, P; Vlachopoulos, N; Shklover, V; Fischer, CH; Gratzel, M","","","","INORGANIC CHEMISTRY","DEC 27 1999","1999","38","26","","","","6298","6305","","10.1021/ic990916a","","","877","41.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","11","22","30","19","31","30","41","44","54","69","72","84","93","91","61","43","43","20","0"
"Gelation of ionic liquid-based electrolytes with silica nanoparticles for quasi-solid-state dye-sensitized solar cells","Wang, P; Zakeeruddin, SM; Comte, P; Exnar, I; Gratzel, M","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","FEB 5 2003","2003","125","5","","","","1166","1167","","10.1021/ja029294+","","","854","50.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","40","45","57","49","58","57","60","70","65","70","70","52","47","49","33","18","0"
"Charge recombination in dye-sensitized nanocrystalline TiO2 solar cells","Huang, SY; Schlichthorl, G; Nozik, AJ; Gratzel, M; Frank, AJ","","","","JOURNAL OF PHYSICAL CHEMISTRY B","APR 3 1997","1997","101","14","","","","2576","2582","","10.1021/jp962377q","","","850","36.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","14","22","24","23","36","36","43","34","35","35","46","61","70","75","65","62","45","39","29","29","15","0"
