PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Roushan, Pedram; Seo, Jungpil; Parker, Colin V.; Hor, Y. S.; Hsieh, D.; Qian, Dong; Richardella, Anthony; Hasan, M. Z.; Cava, R. J.; Yazdani, Ali								Topological surface states protected from backscattering by chiral spin texture								NATURE				460	7259			1106	U64		10.1038/nature08308			AUG 27 2009	2009										651							WOS:000269314000033		
J	Sinova, Jairo; Valenzuela, Sergio O.; Wunderlich, J.; Back, C. H.; Jungwirth, T.								Spin Hall effects								REVIEWS OF MODERN PHYSICS				87	4			1213	1259		10.1103/RevModPhys.87.1213			OCT 27 2015	2015										649							WOS:000363508800001		
J	Murakami, Shuichi								Phase transition between the quantum spin Hall and insulator phases in 3D: emergence of a topological gapless phase								NEW JOURNAL OF PHYSICS				9						PII S1367-2630(07)51934-8	10.1088/1367-2630/9/9/356			SEP 28 2007	2007										643							WOS:000250052100016		
J	Huang, Xiaochun; Zhao, Lingxiao; Long, Yujia; Wang, Peipei; Chen, Dong; Yang, Zhanhai; Liang, Hui; Xue, Mianqi; Weng, Hongming; Fang, Zhong; Dai, Xi; Chen, Genfu								Observation of the Chiral-Anomaly-Induced Negative Magnetoresistance in 3D Weyl Semimetal TaAs								PHYSICAL REVIEW X				5	3					031023	10.1103/PhysRevX.5.031023			AUG 24 2015	2015										639							WOS:000359947000001		
J	Pesin, Dmytro; Balents, Leon								Mott physics and band topology in materials with strong spin-orbit interaction								NATURE PHYSICS				6	5			376	381		10.1038/NPHYS1606			MAY 2010	2010										617							WOS:000278335500019		
J	Xu, Yong; Yan, Binghai; Zhang, Hai-Jun; Wang, Jing; Xu, Gang; Tang, Peizhe; Duan, Wenhui; Zhang, Shou-Cheng								Large-Gap Quantum Spin Hall Insulators in Tin Films								PHYSICAL REVIEW LETTERS				111	13					136804	10.1103/PhysRevLett.111.136804			SEP 24 2013	2013										614							WOS:000324762300018		
J	Khanikaev, Alexander B.; Mousavi, S. Hossein; Tse, Wang-Kong; Kargarian, Mehdi; MacDonald, Allan H.; Shvets, Gennady								Photonic topological insulators								NATURE MATERIALS				12	3			233	239		10.1038/NMAT3520			MAR 2013	2013										607							WOS:000315707200022		
J	Hsieh, Timothy H.; Lin, Hsin; Liu, Junwei; Duan, Wenhui; Bansil, Arun; Fu, Liang								Topological crystalline insulators in the SnTe material class								NATURE COMMUNICATIONS				3						982	10.1038/ncomms1969			JUL 2012	2012										600							WOS:000306995000054		
J	Miyake, Hirokazu; Siviloglou, Georgios A.; Kennedy, Colin J.; Burton, William Cody; Ketterle, Wolfgang								Realizing the Harper Hamiltonian with Laser-Assisted Tunneling in Optical Lattices								PHYSICAL REVIEW LETTERS				111	18					185302	10.1103/PhysRevLett.111.185302			OCT 28 2013	2013										588							WOS:000326164800011		
J	Qi, Xiao-Liang; Li, Rundong; Zang, Jiadong; Zhang, Shou-Cheng								Inducing a Magnetic Monopole with Topological Surface States								SCIENCE				323	5918			1184	1187		10.1126/science.1167747			FEB 27 2009	2009										570							WOS:000263687600030		
J	Ishida, Kenji; Nakai, Yusuke; Hosono, Hideo								To What Extent Iron-Pnictide New Superconductors Have Been Clarified: A Progress Report								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				78	6					062001	10.1143/JPSJ.78.062001			JUN 2009	2009										569							WOS:000267395800001		
J	Liang, Tian; Gibson, Quinn; Ali, Mazhar N.; Liu, Minhao; Cava, R. J.; Ong, N. P.								Ultrahigh mobility and giant magnetoresistance in the Dirac semimetal Cd3As2								NATURE MATERIALS				14	3			280	284					MAR 2015	2015										565							WOS:000350136400013		
J	Qian, Xiaofeng; Liu, Junwei; Fu, Liang; Li, Ju								Quantum spin Hall effect in two-dimensional transition metal dichalcogenides								SCIENCE				346	6215			1344	1347		10.1126/science.1256815			DEC 12 2014	2014										561							WOS:000346189600045		
J	Qu, Dong-Xia; Hor, Y. S.; Xiong, Jun; Cava, R. J.; Ong, N. P.								Quantum Oscillations and Hall Anomaly of Surface States in the Topological Insulator Bi2Te3								SCIENCE				329	5993			821	824		10.1126/science.1189792			AUG 13 2010	2010										559							WOS:000280809900045		
J	Hor, Y. S.; Williams, A. J.; Checkelsky, J. G.; Roushan, P.; Seo, J.; Xu, Q.; Zandbergen, H. W.; Yazdani, A.; Ong, N. P.; Cava, R. J.								Superconductivity in CuxBi2Se3 and its Implications for Pairing in the Undoped Topological Insulator								PHYSICAL REVIEW LETTERS				104	5					057001	10.1103/PhysRevLett.104.057001			FEB 5 2010	2010										556							WOS:000274336800037		
J	Graser, S.; Maier, T. A.; Hirschfeld, P. J.; Scalapino, D. J.								Near-degeneracy of several pairing channels in multiorbital models for the Fe pnictides								NEW JOURNAL OF PHYSICS				11						025016	10.1088/1367-2630/11/2/025016			FEB 27 2009	2009										547							WOS:000263744200015		
J	Scalapino, D. J.								A common thread: The pairing interaction for unconventional superconductors								REVIEWS OF MODERN PHYSICS				84	4			1383	1417		10.1103/RevModPhys.84.1383			OCT 8 2012	2012										542							WOS:000309590600001		
J	Roth, Andreas; Bruene, Christoph; Buhmann, Hartmut; Molenkamp, Laurens W.; Maciejko, Joseph; Qi, Xiao-Liang; Zhang, Shou-Cheng								Nonlocal Transport in the Quantum Spin Hall State								SCIENCE				325	5938			294	297		10.1126/science.1174736			JUL 17 2009	2009										535							WOS:000268036600038		
J	Fu, Liang; Kane, C. L.								Josephson current and noise at a superconductor/quantum-spin-Hall-insulator/superconductor junction								PHYSICAL REVIEW B				79	16					161408	10.1103/PhysRevB.79.161408			APR 2009	2009										533							WOS:000265945200021		
J	Pesin, Dmytro; MacDonald, Allan H.								Spintronics and pseudospintronics in graphene and topological insulators								NATURE MATERIALS				11	5			409	416		10.1038/NMAT3305			MAY 2012	2012										528							WOS:000303108500017		
J	Knez, Ivan; Du, Rui-Rui; Sullivan, Gerard								Evidence for Helical Edge Modes in Inverted InAs/GaSb Quantum Wells								PHYSICAL REVIEW LETTERS				107	13					136603	10.1103/PhysRevLett.107.136603			SEP 19 2011	2011										528							WOS:000295005200023		
J	Peng, Hailin; Lai, Keji; Kong, Desheng; Meister, Stefan; Chen, Yulin; Qi, Xiao-Liang; Zhang, Shou-Cheng; Shen, Zhi-Xun; Cui, Yi								Aharonov-Bohm interference in topological insulator nanoribbons								NATURE MATERIALS				9	3			225	229		10.1038/NMAT2609			MAR 2010	2010										523							WOS:000274700900017		
J	Kuroki, Kazuhiko; Usui, Hidetomo; Onari, Seiichiro; Arita, Ryotaro; Aoki, Hideo								Pnictogen height as a possible switch between high-T-c nodeless and low-T-c nodal pairings in the iron-based superconductors								PHYSICAL REVIEW B				79	22					224511	10.1103/PhysRevB.79.224511			JUN 2009	2009										510							WOS:000267699300099		
J	Son, D. T.; Spivak, B. Z.								Chiral anomaly and classical negative magnetoresistance of Weyl metals								PHYSICAL REVIEW B				88	10					104412	10.1103/PhysRevB.88.104412			SEP 13 2013	2013										497							WOS:000324303900003		
J	Chen, Lan; Liu, Cheng-Cheng; Feng, Baojie; He, Xiaoyue; Cheng, Peng; Ding, Zijing; Meng, Sheng; Yao, Yugui; Wu, Kehui								Evidence for Dirac Fermions in a Honeycomb Lattice Based on Silicon								PHYSICAL REVIEW LETTERS				109	5					056804	10.1103/PhysRevLett.109.056804			AUG 3 2012	2012										495							WOS:000307126000006		
J	Chadov, Stanislav; Qi, Xiaoliang; Kuebler, Juergen; Fecher, Gerhard H.; Felser, Claudia; Zhang, Shou Cheng								Tunable multifunctional topological insulators in ternary Heusler compounds								NATURE MATERIALS				9	7			541	545		10.1038/NMAT2770			JUL 2010	2010										494							WOS:000279014300013		
