PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Xu, Su-Yang; Belopolski, Ilya; Alidoust, Nasser; Neupane, Madhab; Bian, Guang; Zhang, Chenglong; Sankar, Raman; Chang, Guoqing; Yuan, Zhujun; Lee, Chi-Cheng; Huang, Shin-Ming; Zheng, Hao; Ma, Jie; Sanchez, Daniel S.; Wang, BaoKai; Bansil, Arun; Chou, Fangcheng; Shibayev, Pavel P.; Lin, Hsin; Jia, Shuang; Hasan, M. Zahid								Discovery of a Weyl fermion semimetal and topological Fermi arcs								SCIENCE				349	6248			613	617		10.1126/science.aaa9297			AUG 7 2015	2015										1342							WOS:000359092900034		
J	Lewenstein, Maciej; Sanpera, Anna; Ahufinger, Veronica; Damski, Bogdan; Sen(De), Aditi; Sen, Ujjwal								Ultracold atomic gases in optical lattices: mimicking condensed matter physics and beyond								ADVANCES IN PHYSICS				56	2			243	379		10.1080/00018730701223200			2007	2007										1335							WOS:000246721000001		
J	Alicea, Jason								New directions in the pursuit of Majorana fermions in solid state systems								REPORTS ON PROGRESS IN PHYSICS				75	7					076501	10.1088/0034-4885/75/7/076501			JUL 2012	2012										1296							WOS:000305907700002		
J	Dagotto, E								Complexity in strongly correlated electronic systems								SCIENCE				309	5732			257	262		10.1126/science.1107559			JUL 8 2005	2005										1201							WOS:000230449800032		
J	Chang, Cui-Zu; Zhang, Jinsong; Feng, Xiao; Shen, Jie; Zhang, Zuocheng; Guo, Minghua; Li, Kang; Ou, Yunbo; Wei, Pang; Wang, Li-Li; Ji, Zhong-Qing; Feng, Yang; Ji, Shuaihua; Chen, Xi; Jia, Jinfeng; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng; He, Ke; Wang, Yayu; Lu, Li; Ma, Xu-Cun; Xue, Qi-Kun								Experimental Observation of the Quantum Anomalous Hall Effect in a Magnetic Topological Insulator								SCIENCE				340	6129			167	170		10.1126/science.1234414			APR 12 2013	2013										1176							WOS:000317341400047		
J	Moreo, A; Yunoki, S; Dagotto, E								Solid state physics - Phase separation scenario for manganese oxides and related materials								SCIENCE				283	5410			2034	2040		10.1126/science.283.5410.2034			MAR 26 1999	1999										1152							WOS:000079369800034		
J	Uchida, K.; Takahashi, S.; Harii, K.; Ieda, J.; Koshibae, W.; Ando, K.; Maekawa, S.; Saitoh, E.								Observation of the spin Seebeck effect								NATURE				455	7214			778	781		10.1038/nature07321			OCT 9 2008	2008										1123							WOS:000259854900042		
J	VOIT, J								ONE-DIMENSIONAL FERMI LIQUIDS								REPORTS ON PROGRESS IN PHYSICS				58	9			977	1116		10.1088/0034-4885/58/9/002			SEP 1995	1995										1065							WOS:A1995TC26700002		
J	Awschalom, David D.; Flatte, Michael E.								Challenges for semiconductor spintronics								NATURE PHYSICS				3	3			153	159		10.1038/nphys551			MAR 2007	2007										1056							WOS:000244558400011		
J	Saitoh, E; Ueda, M; Miyajima, H; Tatara, G								Conversion of spin current into charge current at room temperature: Inverse spin-Hall effect								APPLIED PHYSICS LETTERS				88	18					182509	10.1063/1.2199473			MAY 1 2006	2006										1054							WOS:000237321600059		
