PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Rigol, Marcos; Dunjko, Vanja; Yurovsky, Vladimir; Olshanii, Maxim								Relaxation in a completely integrable many-body quantum system: An ab initio study of the dynamics of the highly excited states of 1D lattice hard-core bosons								PHYSICAL REVIEW LETTERS				98	5					050405	10.1103/PhysRevLett.98.050405			FEB 2 2007	2007										807							WOS:000244646100006		
J	Griesmaier, A; Werner, J; Hensler, S; Stuhler, J; Pfau, T								Bose-Einstein condensation of chromium								PHYSICAL REVIEW LETTERS				94	16					160401	10.1103/PhysRevLett.94.160401			APR 29 2005	2005										802							WOS:000228763800003		
J	Carr, Lincoln D.; DeMille, David; Krems, Roman V.; Ye, Jun								Cold and ultracold molecules: science, technology and applications								NEW JOURNAL OF PHYSICS				11						055049	10.1088/1367-2630/11/5/055049			MAY 14 2009	2009										800							WOS:000266234500040		
J	Stoferle, T; Moritz, H; Schori, C; Kohl, M; Esslinger, T								Transition from a strongly interacting 1D superfluid to a Mott insulator								PHYSICAL REVIEW LETTERS				92	13					130403	10.1103/PhysRevLett.92.130403			APR 2 2004	2004										780							WOS:000220606200003		
J	Carusotto, Iacopo; Ciuti, Cristiano								Quantum fluids of light								REVIEWS OF MODERN PHYSICS				85	1						10.1103/RevModPhys.85.299			FEB 21 2013	2013										767							WOS:000315489200001		
J	Bakr, Waseem S.; Gillen, Jonathon I.; Peng, Amy; Foelling, Simon; Greiner, Markus								A quantum gas microscope for detecting single atoms in a Hubbard-regime optical lattice								NATURE				462	7269			74	U80		10.1038/nature08482			NOV 5 2009	2009										763							WOS:000271419200034		
J	Marzari, Nicola; Mostofi, Arash A.; Yates, Jonathan R.; Souza, Ivo; Vanderbilt, David								Maximally localized Wannier functions: Theory and applications								REVIEWS OF MODERN PHYSICS				84	4						10.1103/RevModPhys.84.1419			OCT 10 2012	2012										757							WOS:000309659400001		
J	Cronin, Alexander D.; Schmiedmayer, Joerg; Pritchard, David E.								Optics and interferometry with atoms and molecules								REVIEWS OF MODERN PHYSICS				81	3			1051	1129		10.1103/RevModPhys.81.1051			JUL-SEP 2009	2009										711							WOS:000270279000008		
J	Walther, P; Resch, KJ; Rudolph, T; Schenck, E; Weinfurter, H; Vedral, V; Aspelmeyer, M; Zeilinger, A								Experimental one-way quantum computing								NATURE				434	7030			169	176		10.1038/nature03347			MAR 10 2005	2005										711							WOS:000227494500035		
J	Christandl, M; Datta, N; Ekert, A; Landahl, AJ								Perfect state transfer in quantum spin networks								PHYSICAL REVIEW LETTERS				92	18					187902	10.1103/PhysRevLett.92.187902			MAY 7 2004	2004										694							WOS:000221277900064		
J	Baumann, Kristian; Guerlin, Christine; Brennecke, Ferdinand; Esslinger, Tilman								Dicke quantum phase transition with a superfluid gas in an optical cavity								NATURE				464	7293			1301	U1		10.1038/nature09009			APR 29 2010	2010										689							WOS:000277149000036		
J	Joerdens, Robert; Strohmaier, Niels; Guenther, Kenneth; Moritz, Henning; Esslinger, Tilman								A Mott insulator of fermionic atoms in an optical lattice								NATURE				455	7210			204	U34		10.1038/nature07244			SEP 11 2008	2008										686							WOS:000259090800042		
