IDENTIFICADORES DE AUTOR: (D-2864-2009)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Precision measurements of collective oscillations in the BEC-BCS crossover","Altmeyer, A.; Riedl, S.; Kohstall, C.; Wright, M. J.; Geursen, R.; Bartenstein, M.; Chin, C.; Denschlag, J. Hecker; Grimm, R.","","","","PHYSICAL REVIEW LETTERS","JAN 26 2007","2007","98","4","","","","","","040401","10.1103/PhysRevLett.98.040401","","","167","12.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","23","14","16","15","11","15","7","11","13","4","12","4","0"
"Evidence for Universal Four-Body States Tied to an Efimov Trimer","Ferlaino, F.; Knoop, S.; Berninger, M.; Harm, W.; D'Incao, J. P.; Naegerl, H. -C.; Grimm, R.","","","","PHYSICAL REVIEW LETTERS","APR 10 2009","2009","102","14","","","","","","140401","10.1103/PhysRevLett.102.140401","","","166","15.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","22","27","18","23","15","6","7","10","11","4","0"
"Atom-molecule dark states in a Bose-Einstein condensate","Winkler, K; Thalhammer, G; Theis, M; Ritsch, H; Grimm, R; Denschlag, JH","","","","PHYSICAL REVIEW LETTERS","AUG 5 2005","2005","95","6","","","","","","063202","10.1103/PhysRevLett.95.063202","","","146","9.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","22","18","23","10","13","8","7","7","8","3","7","1","2","0"
"Three-body recombination at large scattering lengths in an ultracold atomic gas","Weber, T; Herbig, J; Mark, M; Nagerl, HC; Grimm, R","","","","PHYSICAL REVIEW LETTERS","SEP 19 2003","2003","91","12","","","","","","123201","10.1103/PhysRevLett.91.123201","","","141","8.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","3","11","10","3","11","5","10","10","11","9","6","10","9","10","10","0"
"Two-dimensional Bose-Einstein condensate in an optical surface trap","Rychtarik, D; Engeser, B; Nagerl, HC; Grimm, R","","","","PHYSICAL REVIEW LETTERS","APR 30 2004","2004","92","17","","","","","","173003","10.1103/PhysRevLett.92.173003","","","139","8.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","14","20","11","13","11","12","10","9","4","7","4","5","4","3","2","0"
"Bose-Einstein Condensation of Strontium","Stellmer, Simon; Tey, Meng Khoon; Huang, Bo; Grimm, Rudolf; Schreck, Florian","","","","PHYSICAL REVIEW LETTERS","NOV 13 2009","2009","103","20","","","","","","200401","10.1103/PhysRevLett.103.200401","","","138","12.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","23","18","15","20","14","10","10","8","12","7","0"
"Universality of the Three-Body Parameter for Efimov States in Ultracold Cesium","Berninger, M.; Zenesini, A.; Huang, B.; Harm, W.; Naegerl, H. -C.; Ferlaino, F.; Grimm, R.; Julienne, P. S.; Hutson, J. M.","","","","PHYSICAL REVIEW LETTERS","SEP 14 2011","2011","107","12","","","","","","120401","10.1103/PhysRevLett.107.120401","","","137","15.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","25","25","16","14","18","15","8","0"
"Generation of a hollow laser beam for atom trapping using an axicon","Manek, I; Ovchinnikov, YB; Grimm, R","","","","OPTICS COMMUNICATIONS","FEB 1 1998","1998","147","1-3","","","","67","70","","10.1016/S0030-4018(97)00645-7","","","124","5.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","5","14","8","5","7","5","9","6","9","5","6","4","4","5","4","7","2","5","5","4","0"
"Long-lived Feshbach molecules in a three-dimensional optical lattice","Thalhammer, G; Winkler, K; Lang, F; Schmid, S; Grimm, R; Denschlag, JH","","","","PHYSICAL REVIEW LETTERS","FEB 10 2006","2006","96","5","","","","","","050402","10.1103/PhysRevLett.96.050402","","","122","8.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","15","19","16","10","8","12","4","1","3","5","3","1","3","0"
"Reaching Fermi Degeneracy via Universal Dipolar Scattering","Aikawa, K.; Frisch, A.; Mark, M.; Baier, S.; Grimm, R.; Ferlaino, F.","","","","PHYSICAL REVIEW LETTERS","JAN 6 2014","2014","112","1","","","","","","010404","10.1103/PhysRevLett.112.010404","","","119","19.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","24","26","23","23","9","0"
