PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Hamprecht, FA; Cohen, AJ; Tozer, DJ; Handy, NC								Development and assessment of new exchange-correlation functionals								JOURNAL OF CHEMICAL PHYSICS				109	15			6264	6271		10.1063/1.477267			OCT 15 1998	1998										1167							WOS:000076374800006		
J	Sootsman, Joseph R.; Chung, Duck Young; Kanatzidis, Mercouri G.								New and Old Concepts in Thermoelectric Materials								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				48	46			8616	8639		10.1002/anie.200900598			2009	2009										1161							WOS:000271969400003		
J	Bickelhaupt, FM; Baerends, EJ								Kohn-Sham density functional theory: Predicting and understanding chemistry								REVIEWS IN COMPUTATIONAL CHEMISTRY				15				1	86		10.1002/9780470125922.ch1			2000	2000										1161							WOS:000089180300001		
J	VANLEEUWEN, R; BAERENDS, EJ								EXCHANGE-CORRELATION POTENTIAL WITH CORRECT ASYMPTOTIC-BEHAVIOR								PHYSICAL REVIEW A				49	4			2421	2431		10.1103/PhysRevA.49.2421			APR 1994	1994										1118							WOS:A1994NG48500030		
J	Mishin, Y; Mehl, MJ; Papaconstantopoulos, DA; Voter, AF; Kress, JD								Structural stability and lattice defects in copper: Ab initio, tight-binding, and embedded-atom calculations								PHYSICAL REVIEW B				63	22					224106	10.1103/PhysRevB.63.224106			JUN 1 2001	2001										1102							WOS:000169283000022		
J	Fuchs, M; Scheffler, M								Ab initio pseudopotentials for electronic structure calculations of poly-atomic systems using density-functional theory								COMPUTER PHYSICS COMMUNICATIONS				119	1			67	98		10.1016/S0010-4655(98)00201-X			JUN 1999	1999										1081							WOS:000080818500005		
J	Matsuda, R; Kitaura, R; Kitagawa, S; Kubota, Y; Belosludov, RV; Kobayashi, TC; Sakamoto, H; Chiba, T; Takata, M; Kawazoe, Y; Mita, Y								Highly controlled acetylene accommodation in a metal-organic microporous material								NATURE				436	7048			238	241		10.1038/nature03852			JUL 14 2005	2005										1046							WOS:000230459500036		
J	Cohen, Aron J.; Mori-Sanchez, Paula; Yang, Weitao								Challenges for Density Functional Theory								CHEMICAL REVIEWS				112	1			289	320		10.1021/cr200107z			JAN 2012	2012										1037							WOS:000301082900008		
J	Boese, AD; Martin, JML								Development of density functionals for thermochemical kinetics								JOURNAL OF CHEMICAL PHYSICS				121	8			3405	3416		10.1063/1.1774975			AUG 22 2004	2004										1011							WOS:000223234200007		
J	Park, JH; Vescovo, E; Kim, HJ; Kwon, C; Ramesh, R; Venkatesan, T								Direct evidence for a half-metallic ferromagnet								NATURE				392	6678			794	796		10.1038/33883			APR 23 1998	1998										1003							WOS:000073241200046		
