IDENTIFICADORES DE AUTOR: (A-1035-2007)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"BOSON-VORTEX-SKYRMION DUALITY, SPIN-SINGLET FRACTIONAL QUANTUM HALL-EFFECT, AND SPIN-1/2 ANYON SUPERCONDUCTIVITY","LEE, DH; KANE, CL","","","","PHYSICAL REVIEW LETTERS","MAR 19 1990","1990","64","12","","","","1313","1317","","10.1103/PhysRevLett.64.1313","","","212","7.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","4","4","4","10","24","27","16","13","14","9","10","10","4","5","5","4","7","3","3","3","3","4","5","2","3","3","0","2","0"
"Temperature-dependent resistivity of single-wall carbon nanotubes","Kane, CL; Mele, EJ; Lee, RS; Fischer, JE; Petit, P; Dai, H; Thess, A; Smalley, RE; Verschueren, ARM; Tans, SJ; Dekker, C","","","","EUROPHYSICS LETTERS","MAR 15 1998","1998","41","6","","","","683","688","","10.1209/epl/i1998-00214-6","","","193","8.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","18","11","11","6","9","12","9","12","7","11","8","9","14","9","4","5","9","3","9","3","0"
"Ratio problem in single carbon nanotube fluorescence spectroscopy","Kane, CL; Mele, EJ","","","","PHYSICAL REVIEW LETTERS","MAY 23 2003","2003","90","20","","","","","","207401","10.1103/PhysRevLett.90.207401","","","187","11.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","29","31","23","22","13","9","13","8","9","9","4","0","4","1","2","3","0"
"RESONANT-TUNNELING BETWEEN QUANTUM HALL EDGE STATES","MOON, K; YI, H; KANE, CL; GIRVIN, SM; FISHER, MPA","","","","PHYSICAL REVIEW LETTERS","DEC 27 1993","1993","71","26","","","","4381","4384","","10.1103/PhysRevLett.71.4381","","","183","6.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","17","21","24","17","8","9","7","10","9","6","8","6","5","5","4","0","1","1","2","4","2","2","4","1","3","0"
"RANDOMNESS AT THE EDGE - THEORY OF QUANTUM HALL TRANSPORT AT FILLING NU=2/3","KANE, CL; FISHER, MPA; POLCHINSKI, J","","","","PHYSICAL REVIEW LETTERS","JUN 27 1994","1994","72","26","","","","4129","4132","","10.1103/PhysRevLett.72.4129","","","175","6.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","9","6","11","8","7","5","1","4","1","3","4","3","3","4","7","5","12","7","15","8","10","8","9","10","0"
"MEAN-FIELD THEORY OF THE SPIRAL PHASES OF A DOPED ANTIFERROMAGNET","KANE, CL; LEE, PA; NG, TK; CHAKRABORTY, B; READ, N","","","","PHYSICAL REVIEW B","FEB 1 1990","1990","41","4","","","","2653","2656","","10.1103/PhysRevB.41.2653","","","170","5.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","25","20","19","12","14","6","2","8","7","4","2","5","6","7","5","2","6","1","3","0","0","0","0","2","1","1","1","2","0","0"
"Electron interactions and scaling relations for optical excitations in carbon nanotubes","Kane, CL; Mele, EJ","","","","PHYSICAL REVIEW LETTERS","NOV 5 2004","2004","93","19","","","","","","197402","10.1103/PhysRevLett.93.197402","","","151","9.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","22","21","17","8","15","10","9","8","7","7","3","5","4","2","0"
"Direct measurement of the polarized optical absorption cross section of single-wall carbon nanotubes","Islam, MF; Milkie, DE; Kane, CL; Yodh, AG; Kikkawa, JM","","","","PHYSICAL REVIEW LETTERS","JUL 16 2004","2004","93","3","","","","","","037404","10.1103/PhysRevLett.93.037404","","","151","9.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","12","16","16","15","7","10","11","12","11","10","7","3","5","1","0"
"IMPURITY SCATTERING AND TRANSPORT OF FRACTIONAL QUANTUM HALL EDGE STATES","KANE, CL; FISHER, MPA","","","","PHYSICAL REVIEW B","MAY 15 1995","1995","51","19","","","","13449","13466","","10.1103/PhysRevB.51.13449","","","145","5.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","6","6","7","5","8","3","6","4","4","2","4","4","3","8","3","12","6","11","6","7","7","3","10","0"
"Electronic structure of carbon nanotube ropes","Maarouf, AA; Kane, CL; Mele, EJ","","","","PHYSICAL REVIEW B","APR 15 2000","2000","61","16","","","","11156","11165","","10.1103/PhysRevB.61.11156","","","134","6.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","14","11","10","15","10","11","9","11","3","4","0","5","2","6","3","4","0","0","0"
