PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Diehl, S.; Micheli, A.; Kantian, A.; Kraus, B.; Buechler, H. P.; Zoller, P.								Quantum states and phases in driven open quantum systems with cold atoms								NATURE PHYSICS				4	11			878	883		10.1038/nphys1073			NOV 2008	2008										558							WOS:000262289800020		
J	Cazalilla, M. A.; Citro, R.; Giamarchi, T.; Orignac, E.; Rigol, M.								One dimensional bosons: From condensed matter systems to ultracold gases								REVIEWS OF MODERN PHYSICS				83	4			1405	1466		10.1103/RevModPhys.83.1405			DEC 1 2011	2011										553							WOS:000297553400001		
J	Jaksch, D; Zoller, P								Creation of effective magnetic fields in optical lattices: the Hofstadter butterfly for cold neutral atoms								NEW JOURNAL OF PHYSICS				5						PII S1367-2630(03)61912-9	10.1088/1367-2630/5/1/356			MAY 30 2003	2003										552							WOS:000183231300007		
J	Udem, T; Reichert, J; Holzwarth, R; Hansch, TW								Absolute optical frequency measurement of the cesium D-1 line with a mode-locked laser								PHYSICAL REVIEW LETTERS				82	18			3568	3571		10.1103/PhysRevLett.82.3568			MAY 3 1999	1999										551							WOS:000080040800002		
J	Folman, R; Kruger, P; Schmiedmayer, J; Denschlag, J; Henkel, C								Microscopic atom optics: From wires to an atom chip								Advances In Atomic Molecular and Optical Physics				48				263	356					2002	2002										547							WOS:000180931300007		
J	Deng, Hui; Haug, Hartmut; Yamamoto, Yoshihisa								Exciton-polariton Bose-Einstein condensation								REVIEWS OF MODERN PHYSICS				82	2			1489	1537		10.1103/RevModPhys.82.1489			MAY 12 2010	2010										535							WOS:000278228800001		
J	Schneider, U.; Hackermueller, L.; Will, S.; Best, Th.; Bloch, I.; Costi, T. A.; Helmes, R. W.; Rasch, D.; Rosch, A.								Metallic and Insulating Phases of Repulsively Interacting Fermions in a 3D Optical Lattice								SCIENCE				322	5907			1520	1525		10.1126/science.1165449			DEC 5 2008	2008										532							WOS:000261377400043		
J	Simon, Jonathan; Bakr, Waseem S.; Ma, Ruichao; Tai, M. Eric; Preiss, Philipp M.; Greiner, Markus								Quantum simulation of antiferromagnetic spin chains in an optical lattice								NATURE				472	7343			307	U200		10.1038/nature09994			APR 21 2011	2011										531							WOS:000289724600031		
J	Hodgkinson, Jane; Tatam, Ralph P.								Optical gas sensing: a review								MEASUREMENT SCIENCE AND TECHNOLOGY				24	1					012004	10.1088/0957-0233/24/1/012004			JAN 2013	2013										513							WOS:000312201300005		
J	Bakr, W. S.; Peng, A.; Tai, M. E.; Ma, R.; Simon, J.; Gillen, J. I.; Foelling, S.; Pollet, L.; Greiner, M.								Probing the Superfluid-to-Mott Insulator Transition at the Single-Atom Level								SCIENCE				329	5991			547	550		10.1126/science.1192368			JUL 30 2010	2010										498							WOS:000280483500031		
J	Kartashov, Yaroslav V.; Malomed, Boris A.; Torner, Lluis								Solitons in nonlinear lattices								REVIEWS OF MODERN PHYSICS				83	1			247	305		10.1103/RevModPhys.83.247			APR 14 2011	2011										487							WOS:000290101400001		
J	Schuster, D. I.; Houck, A. A.; Schreier, J. A.; Wallraff, A.; Gambetta, J. M.; Blais, A.; Frunzio, L.; Majer, J.; Johnson, B.; Devoret, M. H.; Girvin, S. M.; Schoelkopf, R. J.								Resolving photon number states in a superconducting circuit								NATURE				445	7127			515	518		10.1038/nature05461			FEB 1 2007	2007										486							WOS:000243867300038		
J	Colombe, Yves; Steinmetz, Tilo; Dubois, Guilhem; Linke, Felix; Hunger, David; Reichel, Jakob								Strong atom-field coupling for Bose-Einstein condensates in an optical cavity on a chip								NATURE				450	7167			272	U9		10.1038/nature06331			NOV 8 2007	2007										480							WOS:000250746200055		
J	Gring, M.; Kuhnert, M.; Langen, T.; Kitagawa, T.; Rauer, B.; Schreitl, M.; Mazets, I.; Smith, D. Adu; Demler, E.; Schmiedmayer, J.								Relaxation and Prethermalization in an Isolated Quantum System								SCIENCE				337	6100			1318	1322		10.1126/science.1224953			SEP 14 2012	2012										476							WOS:000308705000036		
J	Weiss, Nathan O.; Zhou, Hailong; Liao, Lei; Liu, Yuan; Jiang, Shan; Huang, Yu; Duan, Xiangfeng								Graphene: An Emerging Electronic Material								ADVANCED MATERIALS				24	43			5782	5825		10.1002/adma.201201482			NOV 14 2012	2012										471							WOS:000310876700001		
J	Buluta, Iulia; Nori, Franco								Quantum Simulators								SCIENCE				326	5949			108	111		10.1126/science.1177838			OCT 2 2009	2009										469							WOS:000270355600044		
J	Fleischer, JW; Carmon, T; Segev, M; Efremidis, NK; Christodoulides, DN								Observation of discrete solitons in optically induced real time waveguide arrays								PHYSICAL REVIEW LETTERS				90	2					023902	10.1103/PhysRevLett.90.023902			JAN 17 2003	2003										467							WOS:000180444200018		
J	Galitski, Victor; Spielman, Ian B.								Spin-orbit coupling in quantum gases								NATURE				494	7435			49	54		10.1038/nature11841			FEB 7 2013	2013										464							WOS:000314741200031		
J	ADAMS, CS; SIGEL, M; MLYNEK, J								ATOM OPTICS								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				240	3			143	210		10.1016/0370-1573(94)90066-3			MAY 1994	1994										464							WOS:A1994NQ72700001		
J	Calabrese, P; Cardy, J								Evolution of entanglement entropy in one-dimensional systems								JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT										P04010	10.1088/1742-5468/2005/04/P04010			APR 2005	2005										457							WOS:000228865100005		
J	Manchon, A.; Koo, H. C.; Nitta, J.; Frolov, S. M.; Duine, R. A.								New perspectives for Rashba spin-orbit coupling								NATURE MATERIALS				14	9			871	882		10.1038/NMAT4360			SEP 2015	2015										454							WOS:000360192000018		
J	Goral, K; Santos, L; Lewenstein, M								Quantum phases of dipolar bosons in optical lattices								PHYSICAL REVIEW LETTERS				88	17					170406	10.1103/PhysRevLett.88.170406			APR 29 2002	2002										440							WOS:000175054700006		
J	Giamarchi, Thierry; Ruegg, Christian; Tchernyshyov, Oleg								Bose-Einstein condensation in magnetic insulators								NATURE PHYSICS				4	3			198	204		10.1038/nphys893			MAR 2008	2008										437							WOS:000254559900011		
J	Ketterle, W; VanDruten, NJ								Evaporative cooling of trapped atoms								Advances In Atomic Molecular and Optical Physics				37				181	236					1996	1996										425							WOS:A1996BH82Z00004		
J	Weitenberg, Christof; Endres, Manuel; Sherson, Jacob F.; Cheneau, Marc; Schauss, Peter; Fukuhara, Takeshi; Bloch, Immanuel; Kuhr, Stefan								Single-spin addressing in an atomic Mott insulator								NATURE				471	7338			319	+		10.1038/nature09827			MAR 17 2011	2011										418							WOS:000288444000033		
J	Altman, E; Demler, E; Lukin, MD								Probing many-body states of ultracold atoms via noise correlations								PHYSICAL REVIEW A				70	1					013603	10.1103/PhysRevA.70.013603			JUL 2004	2004										416							WOS:000223273200091		
J	Eisert, J.; Friesdorf, M.; Gogolin, C.								Quantum many-body systems out of equilibrium								NATURE PHYSICS				11	2			124	130		10.1038/NPHYS3215			FEB 2015	2015										415							WOS:000349934700015		
J	Goldman, N.; Juzeliunas, G.; Oehberg, P.; Spielman, I. B.								Light-induced gauge fields for ultracold atoms								REPORTS ON PROGRESS IN PHYSICS				77	12					126401	10.1088/0034-4885/77/12/126401			DEC 2014	2014										415							WOS:000345895500003		
J	Kollath, Corinna; Laeuchli, Andreas M.; Altman, Ehud								Quench dynamics and nonequilibrium phase diagram of the Bose-Hubbard model								PHYSICAL REVIEW LETTERS				98	18					180601	10.1103/PhysRevLett.98.180601			MAY 4 2007	2007										415							WOS:000246210200008		
J	Baranov, M. A.								Theoretical progress in many-body physics with ultracold dipolar gases								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				464	3			71	111		10.1016/j.physrep.2008.04.007			AUG 2008	2008										407							WOS:000258725200001		
J	Lignier, H.; Sias, C.; Ciampini, D.; Singh, Y.; Zenesini, A.; Morsch, O.; Arimondo, E.								Dynamical control of matter-wave tunneling in periodic potentials								PHYSICAL REVIEW LETTERS				99	22					220403	10.1103/PhysRevLett.99.220403			NOV 30 2007	2007										403							WOS:000251327500003		
J	Meng, Z. Y.; Lang, T. C.; Wessel, S.; Assaad, F. F.; Muramatsu, A.								Quantum spin liquid emerging in two-dimensional correlated Dirac fermions								NATURE				464	7290			847	U50		10.1038/nature08942			APR 8 2010	2010										402							WOS:000276397300028		
J	Fortagh, Jozsef; Zimmermann, Claus								Magnetic microtraps for ultracold atoms								REVIEWS OF MODERN PHYSICS				79	1			235	289		10.1103/RevModPhys.79.235			JAN-MAR 2007	2007										398							WOS:000244867600006		
J	Werle, P								A review of recent advances in semiconductor laser based gas monitors								SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY				54	2			197	236		10.1016/S1386-1425(97)00227-8			FEB 1998	1998										398							WOS:000072487200001		
J	Angelakis, Dimitris G.; Santos, Marcelo Franca; Bose, Sougato								Photon-blockade-induced Mott transitions and XY spin models in coupled cavity arrays								PHYSICAL REVIEW A				76	3					031805	10.1103/PhysRevA.76.031805			SEP 2007	2007										395							WOS:000249786000024		
J	Torma, P.; Barnes, W. L.								Strong coupling between surface plasmon polaritons and emitters: a review								REPORTS ON PROGRESS IN PHYSICS				78	1					013901	10.1088/0034-4885/78/1/013901			JAN 2015	2015										394							WOS:000348760600002		
J	Foelling, S.; Trotzky, S.; Cheinet, P.; Feld, M.; Saers, R.; Widera, A.; Mueller, T.; Bloch, I.								Direct observation of second-order atom tunnelling								NATURE				448	7157			1029	U4		10.1038/nature06112			AUG 30 2007	2007										390							WOS:000249097600033		
J	Theis, M; Thalhammer, G; Winkler, K; Hellwig, M; Ruff, G; Grimm, R; Denschlag, JH								Tuning the scattering length with an optically induced Feshbach resonance								PHYSICAL REVIEW LETTERS				93	12					123001	10.1103/PhysRevLett.93.123001			SEP 17 2004	2004										389							WOS:000223923800026		
J	Cazalilla, M. A.								Effect of suddenly turning on interactions in the Luttinger model								PHYSICAL REVIEW LETTERS				97	15					156403	10.1103/PhysRevLett.97.156403			OCT 13 2006	2006										382							WOS:000241247700049		
